par_pctile,w2_or_sc_nz_30_f,w2_or_sc_nz_30_m,w2_pos_30_f,w2_pos_30_m,w2_or_sc_nz_30_f_sp,w2_or_sc_nz_30_m_sp,w2_pos_30_f_sp,w2_pos_30_m_sp,w2_or_sc_nz_30_f_tp,w2_or_sc_nz_30_m_tp,w2_pos_30_f_tp,w2_pos_30_m_tp,w2_nonemp_f,w2_nonemp_m,coll1823_f,coll1823_m,kid_indv_rank_26_f,kid_indv_rank_26_m,kid_indv_rank_30_f,kid_indv_rank_30_m,kid_rank_30_f,kid_rank_30_m,w2wages_30_f,w2wages_30_m
42,0.819629203,0.838170406,0.772682518,0.805667765,0.829748313,0.810995916,0.787737337,0.781903864,0.814597579,0.851535942,0.765196663,0.817355832,0.79130617,0.836886044,0.697414643,0.553252886,0.459991963,0.51259979,0.450268883,0.512722196,0.496576537,0.466220337,28607.49715,35465.25425
43,0.824643653,0.837221305,0.776100576,0.80559455,0.82971542,0.806200064,0.784381205,0.778331735,0.822282475,0.852020125,0.772245502,0.818600396,0.795526216,0.835322048,0.701620708,0.561201313,0.461030075,0.51529985,0.450111896,0.514704184,0.499494308,0.469756148,28456.99496,35863.21499
44,0.821053736,0.841168445,0.771053736,0.809600595,0.823829267,0.810665952,0.78033032,0.781522176,0.819813527,0.854780841,0.766908616,0.822131197,0.791456759,0.839204499,0.706367225,0.566711401,0.461902674,0.516765508,0.449933053,0.517208257,0.499262412,0.471976034,28726.96137,35659.59259
45,0.822155111,0.845747983,0.77622583,0.81243534,0.828906471,0.811048557,0.787016106,0.781351161,0.81930442,0.860199297,0.771669749,0.825381008,0.795331572,0.844527209,0.713790124,0.570353861,0.465994001,0.520398605,0.453218682,0.521959466,0.505162062,0.475623785,28891.91957,35766.2759
46,0.82678504,0.848089488,0.779225958,0.816743859,0.840404485,0.816487819,0.798490511,0.789153132,0.821318274,0.860696517,0.771493279,0.827750781,0.798178231,0.847014308,0.716660853,0.577067165,0.466693475,0.523816375,0.45499382,0.525369636,0.506872097,0.479050685,28803.37257,36268.19798
47,0.828916773,0.847329826,0.781909211,0.815718606,0.835913077,0.813495358,0.795501334,0.784285607,0.826266536,0.86012848,0.776760441,0.827608851,0.801747073,0.846169781,0.722413627,0.586001038,0.47058824,0.527181374,0.459162331,0.527102856,0.511875547,0.481578286,29302.23901,36818.80023
48,0.828855055,0.85338969,0.781189135,0.821999834,0.837665444,0.819554849,0.793892521,0.792766296,0.825716477,0.86531779,0.776663732,0.832305795,0.801315211,0.852084369,0.72940295,0.589703792,0.471259717,0.52835989,0.459799048,0.531230987,0.51436514,0.485457316,29293.9001,36836.64939
49,0.827833782,0.852862905,0.78093628,0.822030022,0.829774812,0.816640214,0.787823186,0.788488848,0.827185926,0.864865613,0.778637642,0.833144186,0.800743013,0.851282798,0.734156638,0.593573608,0.474571472,0.53157626,0.460881441,0.532184448,0.519047901,0.48797555,29493.13357,36865.50099
50,0.831524927,0.854011726,0.784206117,0.822647138,0.840211091,0.816159148,0.798944545,0.78631882,0.828749896,0.865797338,0.779497526,0.833958164,0.804294093,0.852893041,0.73960689,0.604999969,0.476990988,0.534067133,0.462840419,0.53514597,0.519982993,0.491490698,29660.4789,37262.26479
51,0.830198197,0.860761846,0.784484752,0.830907402,0.836142581,0.818434005,0.793681496,0.793378076,0.828440717,0.87345679,0.781765699,0.842163178,0.803610837,0.858697223,0.742887277,0.610247539,0.478641406,0.537898983,0.466274454,0.542417639,0.524417895,0.49634247,29944.48815,37555.64496
52,0.832592189,0.859474555,0.785879096,0.828982209,0.834595721,0.818431002,0.793220981,0.786672968,0.832021988,0.870974576,0.78378961,0.840836864,0.805701221,0.858481589,0.750061521,0.617487596,0.479789743,0.540170281,0.466687285,0.543640968,0.525202681,0.499138033,30092.35721,38836.99241
53,0.834691185,0.862488346,0.78905481,0.832445872,0.835020144,0.824474904,0.794340179,0.798244749,0.834602076,0.872599937,0.787623104,0.841543385,0.807757555,0.860147105,0.755346738,0.622571146,0.484054211,0.542033022,0.470074456,0.546279589,0.531080564,0.502855873,30112.30258,37966.67097
